                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.512,                 2.5181,                 1.5283,                0.71251,                0.47895,                0.55712,                0.31414,                 1.2978,                 3.1372,                 1.3903,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4679,                 2.0099,                 1.4996,                0.40169,                0.42757,                0.33957,                0.15696,                 1.7664,                 3.1544,                 2.0203,              0.0013097,              0.0013097,              0.0013097
                      3,                 1.5666,                 1.9517,                  1.574,                0.34113,                0.36842,                0.29686,                 0.1221,                 1.7797,                 6.1329,                 2.1708,                0.00195,                0.00195,                0.00195
                      4,                 1.5674,                 1.7677,                 1.5546,                0.43973,                0.45053,                0.37952,                0.15678,                 1.8424,                  2.336,                 1.9344,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5606,                 1.6749,                  1.567,                0.45875,                0.43053,                 0.3717,                0.15978,                 1.9223,                 2.4636,                 2.0156,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5213,                 1.5675,                 1.5191,                0.47232,                0.61054,                0.46542,                 0.2633,                  1.388,                 2.4042,                 1.4949,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4585,                 1.4914,                 1.4765,                0.53245,                0.59789,                0.56639,                0.32189,                 1.4566,                 1.8279,                 1.5256,               0.001901,               0.001901,               0.001901
                      8,                 1.4392,                 1.4624,                  1.476,                0.69307,                0.67266,                0.69878,                0.39972,                 1.3891,                 1.8259,                 1.5092,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4267,                 1.4101,                 1.4486,                 0.6942,                0.72644,                0.73235,                0.44623,                  1.352,                 1.3921,                 1.4627,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4438,                 1.4167,                 1.4781,                  0.694,                0.64221,                0.68405,                0.40687,                  1.353,                 1.4084,                 1.4435,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4085,                 1.3557,                 1.4553,                0.76197,                0.68068,                0.73456,                0.44175,                 1.3195,                 1.3852,                 1.4134,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3715,                 1.3488,                 1.4064,                0.64448,                0.54766,                0.61411,                0.33432,                   1.59,                 1.6719,                 1.6053,               0.001802,               0.001802,               0.001802
                     13,                 1.3523,                 1.3034,                  1.411,                0.66281,                0.71178,                0.75159,                0.44102,                 1.3458,                 1.3573,                 1.4601,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3389,                  1.273,                 1.4006,                0.67196,                 0.7288,                0.75508,                0.46959,                 1.2072,                 1.3835,                 1.3274,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.337,                 1.2579,                  1.384,                0.74808,                0.73142,                0.78509,                0.46295,                 1.3578,                 1.2825,                 1.4547,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3255,                 1.2423,                 1.3893,                 0.7624,                0.68632,                0.79557,                0.48743,                 1.2961,                 1.1342,                 1.3746,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3196,                 1.2143,                 1.3829,                0.73752,                0.62407,                0.74156,                0.48896,                 1.1888,                  1.204,                 1.3003,               0.001703,               0.001703,               0.001703
                     18,                 1.2697,                 1.1803,                 1.3464,                0.80552,                0.69895,                0.81959,                0.53621,                 1.1897,                 1.1206,                 1.3151,              0.0016832,              0.0016832,              0.0016832
